Tipo_de_Moradia,Bairro,Area,Quartos,Banheiros,Vagas,Preco,Condominio,Aceita_Animais,Area_de_Servico,Churrasqueira,Elevador,Varanda,Piscina,Condominio_Fechado,Espaco_Gourmet,Portao_Eletronico,Quintal_ou_Jardim
Apartamento,Democrata,60.0,2.0,2.0,1.0,265000,330.0,False,False,True,True,False,True,True,False,False,False
Apartamento,Centro,63.0,1.0,1.0,1.0,199000,350.0,False,False,False,False,False,False,False,False,False,False
Apartamento,Jóquei Clube,50.0,2.0,1.0,1.0,260000,,False,False,False,False,False,False,False,False,False,False
Apartamento,Morro da Glória,81.0,2.0,2.0,,228000,250.0,False,False,False,False,False,False,False,False,False,False
Apartamento,Centro,89.0,2.0,3.0,1.0,280000,675.0,True,True,False,True,True,False,False,False,False,False
Casa,Encosta do Sol,180.0,5.0,3.0,2.0,475000,,False,False,False,False,False,False,False,False,False,False
Casa,Nova Era,60.0,3.0,1.0,1.0,170000,,False,False,False,False,False,False,False,False,False,False
Casa,Jardim Santa Isabel,110.0,3.0,2.0,2.0,419000,,False,False,False,False,True,False,False,False,True,True
Casa,Parque Independencia III,85.0,2.0,2.0,1.0,280000,,False,False,False,False,True,False,False,True,True,True
Casa,Francisco Bernardino,45.0,3.0,3.0,2.0,450000,,False,False,False,False,True,False,False,True,True,True
Casa,Fontesville,102.0,2.0,2.0,2.0,350000,,False,True,False,False,False,False,False,False,True,True
Casa,São Pedro,180.0,3.0,3.0,,650000,,False,True,False,False,True,False,False,True,True,True
Casa,Marilândia,180.0,3.0,3.0,2.0,685000,,False,False,False,False,True,False,False,False,True,True
Casa,Industrial,140.0,2.0,2.0,10.0,330000,,False,False,False,False,False,False,False,False,False,False
Casa,Democrata,161.0,3.0,3.0,1.0,280000,,False,False,False,False,False,False,False,False,False,False
Casa,Vivendas da Serra,110.0,3.0,2.0,2.0,320000,,False,False,False,False,True,False,False,False,True,False
Casa,Vivendas da Serra,160.0,3.0,3.0,2.0,490000,,False,False,False,False,False,False,False,False,False,False
Casa,Aeroporto,150.0,3.0,4.0,3.0,889000,,False,False,False,False,True,False,False,True,True,False
Casa,Vivendas da Serra,160.0,3.0,3.0,2.0,490000,,False,True,False,False,False,False,False,False,True,True
Casa,Bandeirantes,90.0,2.0,2.0,,200000,,False,False,False,False,False,False,False,False,False,False
Casa,Santa Terezinha,131.0,5.0,3.0,,500000,,True,False,False,False,False,False,False,False,False,False
Casa,Amazônia,165.0,3.0,3.0,2.0,350000,,True,False,False,False,False,False,False,True,False,True
Casa,Aeroporto,148.0,3.0,3.0,2.0,630000,,True,False,False,False,True,False,False,True,True,False
Casa,Salvaterra,140.0,4.0,4.0,2.0,350000,,True,True,False,False,True,False,False,False,False,True
Casa,Barreira do Triunfo,140.0,3.0,3.0,3.0,450000,,True,False,True,False,False,True,True,True,False,False
Casa,São Pedro,290.0,3.0,3.0,2.0,950000,,False,False,False,False,True,False,False,False,False,False
Casa,Fontesville,90.0,2.0,2.0,2.0,350000,,False,False,False,False,False,False,False,False,False,False
Casa,Fontesville,140.0,3.0,2.0,3.0,475000,,True,False,False,False,False,False,False,False,False,False
Casa,Democrata,401.0,3.0,3.0,3.0,670000,,False,False,False,False,False,False,False,False,False,False
Casa,São Pedro,10.0,3.0,4.0,3.0,369000,,False,False,False,False,False,False,False,False,False,False
Casa,Fontesville,140.0,3.0,2.0,3.0,474000,,True,False,False,False,False,False,False,False,False,False
Casa,Borboleta,440.0,2.0,1.0,,79338,,False,False,False,False,False,False,False,False,False,False
Casa,São Bernardo,420.0,4.0,3.0,1.0,650000,,False,False,False,False,False,False,False,False,True,False
Casa,Santos Dumont,160.0,3.0,2.0,3.0,230000,,True,True,False,False,True,False,False,False,False,True
Casa,Santa Efigênia,150.0,3.0,3.0,1.0,195000,,True,True,False,False,False,False,False,True,False,False
Casa,São Bernardo,420.0,4.0,3.0,1.0,650000,,False,False,False,False,False,False,False,False,False,False
Casa,Santa Maria,300.0,4.0,5.0,4.0,595000,,False,True,False,False,True,False,False,False,False,True
Casa,Marilândia,148.0,3.0,3.0,1.0,685000,,False,False,False,False,False,False,False,False,False,False
Casa,Recanto da Mata,160.0,3.0,2.0,2.0,380000,,True,False,False,False,True,False,False,True,False,True
Casa,Santa Efigênia,150.0,3.0,3.0,1.0,195000,,False,False,False,False,False,False,False,False,False,False
Casa,Serra D água,60.0,2.0,1.0,1.0,212900,160.0,True,False,False,False,True,False,True,True,False,False
Apartamento,Granbery,51.0,1.0,1.0,1.0,285000,160.0,False,False,False,False,False,False,False,False,True,False
Apartamento,Granbery,60.0,2.0,2.0,1.0,382740,,False,False,False,False,True,False,False,True,False,False
Apartamento,Granbery,65.0,2.0,1.0,,240000,1.0,False,False,False,True,True,False,False,False,True,False
Apartamento,Granbery,108.0,2.0,1.0,1.0,299000,280.0,False,False,False,False,False,False,False,False,False,False
Apartamento,Granbery,79.0,2.0,1.0,1.0,505000,,False,False,False,False,False,False,False,False,False,False
Apartamento,Granbery,75.0,2.0,2.0,2.0,310000,452.0,False,True,False,True,True,False,False,False,False,False
Apartamento,Granbery,187.0,3.0,3.0,2.0,699000,727.0,True,False,False,False,False,True,False,False,False,True
Apartamento,Granbery,93.0,3.0,3.0,2.0,510000,,True,True,False,True,True,False,False,False,False,False
Apartamento,Granbery,183.0,3.0,2.0,3.0,800000,450.0,False,False,False,False,False,False,False,False,False,False
Apartamento,Granbery,74.0,3.0,2.0,2.0,366000,,False,False,True,True,False,True,True,False,False,False
Apartamento,Granbery,75.0,2.0,2.0,2.0,310000,452.0,False,False,False,True,True,False,False,True,True,False
Apartamento,Granbery,102.0,2.0,3.0,2.0,319000,250.0,False,False,False,False,False,False,False,False,False,False
Apartamento,Granbery,180.0,4.0,3.0,2.0,930000,380.0,True,True,False,True,True,False,True,True,False,False
Apartamento,Granbery,87.0,2.0,1.0,1.0,249900,320.0,True,False,False,False,True,False,False,False,False,True
Apartamento,Granbery,83.0,2.0,1.0,1.0,379000,230.0,False,False,False,False,False,False,False,False,False,True
Apartamento,Granbery,60.0,1.0,1.0,,175000,190.0,False,False,False,False,False,False,False,False,False,False
Apartamento,Granbery,80.0,3.0,2.0,2.0,530000,,True,False,True,True,False,True,False,False,False,False
Apartamento,Granbery,67.0,2.0,1.0,,229900,200.0,False,False,False,False,False,False,False,False,False,False
Apartamento,Granbery,99.0,2.0,2.0,1.0,379000,475.0,True,False,False,True,False,False,False,False,False,False
Apartamento,Granbery,69.0,3.0,2.0,2.0,445145,,False,False,True,False,True,True,False,True,False,False
Apartamento,Granbery,183.0,3.0,3.0,3.0,799000,390.0,False,False,True,True,True,False,True,False,False,False
Apartamento,Granbery,96.0,3.0,3.0,2.0,1049900,501.0,False,False,True,True,True,True,True,False,False,False
Apartamento,Granbery,94.0,2.0,2.0,1.0,260000,220.0,False,False,False,False,False,False,False,False,False,False
Apartamento,Granbery,51.0,2.0,1.0,1.0,499000,,False,False,True,True,False,True,False,True,False,False
Apartamento,Granbery,75.0,3.0,2.0,2.0,520000,300.0,False,True,True,True,False,False,False,False,False,False
Apartamento,Granbery,72.0,2.0,1.0,1.0,229000,290.0,True,False,False,True,False,False,True,False,True,False
Apartamento,Granbery,70.0,2.0,1.0,1.0,269000,250.0,False,False,False,False,False,False,False,False,False,False
Apartamento,Granbery,97.0,2.0,2.0,2.0,350000,430.0,True,True,False,True,False,False,True,False,False,False
Apartamento,Granbery,130.0,3.0,2.0,13.0,680000,1100.0,True,False,False,True,True,False,True,True,False,False
Apartamento,Granbery,56.0,2.0,1.0,1.0,310000,315.0,False,False,False,True,True,False,False,False,False,False
Apartamento,Granbery,62.0,2.0,1.0,,199000,260.0,False,False,False,False,False,False,False,False,False,False
Apartamento,Granbery,160.0,4.0,6.0,3.0,1500000,600.0,False,False,True,True,True,True,False,False,False,False
Apartamento,Granbery,108.0,3.0,2.0,1.0,530000,740.0,True,False,False,True,True,False,False,True,False,False
Apartamento,Granbery,174.0,3.0,3.0,3.0,895000,825.0,False,False,True,True,True,True,True,False,False,False
Apartamento,Granbery,70.0,2.0,1.0,1.0,339000,,True,True,False,True,True,False,False,False,False,False
Casa,Granbery,590.0,6.0,6.0,4.0,3490000,,True,False,True,False,False,True,False,True,False,False
Casa,Granbery,178.0,4.0,4.0,1.0,450000,,True,False,False,False,False,False,False,False,False,False
Casa,Granbery,178.0,4.0,3.0,1.0,450000,,False,False,False,False,False,False,False,False,False,False
Casa,Granbery,40.0,2.0,1.0,,270000,10.0,True,False,False,False,True,False,False,True,False,False
Casa,Granbery,112.0,4.0,3.0,4.0,470000,,True,False,True,False,False,False,False,False,False,True
Casa,Granbery,300.0,4.0,3.0,,450000,,True,True,False,False,False,False,False,False,False,False
Casa,Granbery,128.0,3.0,3.0,2.0,1380000,,True,True,False,False,False,False,False,False,False,True
Casa,Granbery,244.0,4.0,3.0,1.0,980000,,True,True,False,False,False,False,False,False,False,True
Casa,Granbery,200.0,5.0,6.0,2.0,1200000,,True,False,True,False,True,True,False,False,False,False
Casa,Granbery,312.0,3.0,2.0,1.0,1380000,,False,False,False,False,False,False,False,False,False,True
Casa,Granbery,247.0,3.0,2.0,4.0,990000,,False,False,False,False,False,False,False,False,False,False
Casa,Granbery,420.0,9.0,4.0,1.0,1500000,,False,True,False,False,False,False,False,False,False,False
Casa,São Pedro,150.0,3.0,2.0,2.0,255000,,False,True,True,False,False,False,False,False,False,False
Casa,São Pedro,116.0,3.0,2.0,3.0,369000,,False,False,True,False,False,True,True,True,False,False
Casa,Bom Jardim,130.0,2.0,2.0,1.0,279000,1.0,False,False,False,False,False,False,False,False,False,False
Casa,Santa Efigênia,150.0,3.0,3.0,1.0,195000,,True,False,False,False,False,False,False,False,False,False
Casa,São Bernardo,240.0,3.0,2.0,2.0,300000,,False,False,False,False,False,False,False,False,False,False
Casa,Terras Altas,183.0,3.0,4.0,2.0,410000,,False,False,False,False,False,False,False,True,False,False
Casa,Santa Efigênia,150.0,3.0,3.0,1.0,195000,,False,False,False,False,False,False,False,False,False,False
Casa,São Mateus,290.0,3.0,3.0,,199000,,True,False,False,False,True,False,False,False,False,False
Casa,São Mateus,165.0,3.0,4.0,1.0,679000,,False,True,False,False,False,False,False,False,False,True
Casa,São Mateus,89.0,3.0,2.0,,399000,,False,False,False,False,False,False,False,False,False,True
Casa,São Mateus,177.0,3.0,2.0,1.0,420000,,True,False,False,False,True,False,False,False,False,False
Casa,São Mateus,110.0,3.0,4.0,1.0,650000,,False,False,False,False,False,False,False,False,False,False
Casa,São Mateus,110.0,3.0,2.0,2.0,400000,,False,False,False,False,False,False,False,False,False,False
Casa,São Mateus,700.0,5.0,4.0,4.0,850000,,True,False,True,False,True,True,False,False,False,False
Casa,São Mateus,61.0,3.0,3.0,4.0,439900,,False,False,False,False,False,False,False,False,False,False
Casa,São Mateus,100.0,3.0,2.0,1.0,399000,,True,True,False,False,True,False,False,False,False,False
Casa,São Mateus,89.0,3.0,2.0,,399000,,False,False,False,False,False,False,False,False,False,False
Casa,São Mateus,330.0,3.0,3.0,1.0,650000,,False,False,False,False,False,False,False,False,False,True
Casa,São Mateus,232.0,4.0,4.0,3.0,990000,,False,False,False,False,False,False,False,False,False,False
Casa,São Mateus,90.0,3.0,1.0,,415000,,False,False,False,False,False,False,False,False,False,False
Casa,São Mateus,50.0,3.0,3.0,1.0,680000,,False,False,False,False,False,False,False,False,False,False
Casa,São Mateus,166.0,3.0,3.0,1.0,680000,,False,False,False,False,False,False,False,False,False,False
Casa,São Mateus,120.0,3.0,2.0,,399000,,True,True,False,False,False,False,False,False,False,True
Casa,São Mateus,650.0,5.0,8.0,,1100000,,False,False,False,False,False,False,False,False,False,False
Casa,São Mateus,100.0,3.0,3.0,1.0,680000,,True,False,False,False,False,False,False,False,False,False
Casa,São Mateus,143.0,4.0,2.0,1.0,460000,,False,False,False,False,False,False,False,False,False,False
Casa,São Mateus,360.0,3.0,3.0,2.0,850000,,False,False,False,False,False,False,False,False,False,False
Casa,São Mateus,190.0,4.0,3.0,2.0,890000,,False,False,True,False,True,False,False,True,False,True
Casa,São Mateus,200.0,5.0,3.0,2.0,400000,,True,False,False,False,True,False,False,False,False,False
Casa,São Mateus,144.0,2.0,3.0,1.0,650000,,False,False,False,False,False,False,False,False,False,False
Casa,São Mateus,250.0,8.0,4.0,,329000,,True,False,False,False,False,False,False,False,False,False
Casa,São Mateus,166.0,3.0,3.0,1.0,680000,,False,False,False,False,False,False,False,False,False,False
Casa,São Mateus,340.0,4.0,2.0,1.0,530000,,True,False,False,False,True,False,False,False,False,True
Casa,São Mateus,108.0,4.0,2.0,4.0,400000,,False,False,False,False,True,False,False,False,False,True
Casa,São Mateus,450.0,4.0,5.0,6.0,1399000,,False,False,False,False,True,False,False,False,False,True
Casa,São Mateus,205.0,4.0,3.0,1.0,580000,,True,False,True,False,True,False,False,False,False,False
Casa,São Mateus,174.0,4.0,3.0,,745000,745000.0,False,True,False,False,False,False,False,False,False,False
Casa,São Mateus,114.0,4.0,1.0,,499900,,False,False,False,False,False,False,False,False,False,False
Casa,São Mateus,89.0,3.0,2.0,,399000,,False,False,False,False,False,False,False,False,False,False
Casa,São Mateus,240.0,3.0,3.0,1.0,680000,,False,False,False,False,False,False,False,False,False,False
Casa,São Mateus,108.0,4.0,2.0,2.0,400000,,True,True,False,False,False,False,False,False,False,False
Casa,São Mateus,250.0,4.0,3.0,1.0,750000,,False,False,False,False,False,False,False,False,False,False
Casa,São Mateus,58.0,3.0,3.0,2.0,650000,,False,False,False,False,False,False,False,False,False,False
Apartamento,São Mateus,100.0,2.0,2.0,2.0,535000,300.0,False,False,False,False,True,False,True,True,True,False
Apartamento,São Mateus,150.0,3.0,3.0,2.0,350000,,True,False,False,False,False,False,False,False,True,False
Apartamento,São Mateus,67.0,2.0,1.0,1.0,295000,400.0,False,False,False,False,False,False,False,False,False,False
Apartamento,São Mateus,76.0,2.0,2.0,1.0,260000,263.0,False,False,False,False,False,False,False,False,False,False
Apartamento,São Mateus,179.0,4.0,3.0,3.0,890000,1400.0,True,True,False,False,True,False,False,False,False,False
Apartamento,São Mateus,74.0,2.0,2.0,1.0,385000,,False,True,False,True,False,False,True,False,False,True
Apartamento,São Mateus,82.0,2.0,1.0,1.0,215000,285.0,True,False,False,False,False,False,False,False,True,False
Apartamento,São Mateus,67.0,2.0,1.0,2.0,549000,320.0,False,False,False,False,True,False,False,True,False,False
Apartamento,São Mateus,80.0,2.0,2.0,1.0,330000,640.0,True,False,False,True,False,False,True,False,True,False
Apartamento,São Mateus,72.0,2.0,2.0,1.0,379000,300.0,True,False,False,True,True,False,True,False,False,True
Apartamento,São Mateus,110.0,2.0,3.0,2.0,759057,,False,False,False,False,False,False,False,False,False,False
Apartamento,São Mateus,102.0,2.0,2.0,1.0,640000,550.0,False,False,False,True,False,False,False,False,True,False
Apartamento,São Mateus,42.0,1.0,1.0,,180000,,True,False,False,False,False,False,True,False,True,False
Apartamento,São Mateus,78.0,2.0,2.0,1.0,449000,290.0,True,True,False,True,True,False,False,False,False,False
Apartamento,São Mateus,60.0,2.0,2.0,,150000,24.0,False,False,False,False,False,False,False,False,False,False
Apartamento,São Mateus,144.0,3.0,3.0,1.0,680000,1100.0,True,False,False,True,False,False,True,False,False,False
Apartamento,São Mateus,120.0,3.0,3.0,2.0,999990,350.0,True,False,False,True,True,False,True,True,False,False
Apartamento,São Mateus,72.0,3.0,2.0,2.0,620000,,True,False,False,True,True,False,True,False,False,False
Apartamento,São Mateus,82.0,2.0,2.0,1.0,340000,425.0,False,False,False,False,False,False,False,False,False,False
Apartamento,São Mateus,65.0,2.0,3.0,,200000,200.0,True,True,False,False,False,False,False,False,False,False
Apartamento,São Mateus,60.0,2.0,2.0,,150000,,False,False,False,False,False,False,False,False,False,False
Apartamento,São Mateus,57.0,2.0,1.0,,205000,400.0,True,False,False,True,True,False,False,False,False,False
Apartamento,São Mateus,74.0,2.0,2.0,2.0,587602,,False,False,True,False,False,False,False,False,False,False
Apartamento,São Mateus,85.0,2.0,2.0,,599000,507.0,True,False,False,False,True,True,False,False,False,True
Apartamento,São Mateus,120.0,3.0,3.0,2.0,750000,400.0,True,False,False,True,False,False,False,False,True,False
Apartamento,São Mateus,129.0,3.0,3.0,2.0,425000,300.0,False,False,False,False,False,False,False,False,False,False
Apartamento,São Mateus,65.0,2.0,1.0,1.0,260000,256.0,False,False,False,False,False,False,False,False,True,False
Apartamento,São Mateus,70.0,2.0,2.0,1.0,473000,,False,True,False,True,False,False,True,False,False,False
Apartamento,São Mateus,250.0,3.0,3.0,2.0,675000,651.0,False,False,False,True,True,True,True,False,False,False
Apartamento,São Mateus,120.0,3.0,2.0,2.0,489000,690.0,False,False,False,False,False,False,False,False,False,False
Apartamento,São Mateus,65.0,2.0,1.0,1.0,210000,300.0,True,False,False,False,False,False,False,False,True,False
Apartamento,São Mateus,72.0,2.0,2.0,2.0,500058,264.0,False,False,False,False,False,False,False,False,False,False
Apartamento,São Mateus,80.0,2.0,2.0,2.0,780000,550.0,False,False,False,False,True,False,False,True,False,False
Apartamento,São Mateus,97.0,2.0,2.0,1.0,435000,391.0,True,True,False,True,True,False,True,False,False,False
Apartamento,São Pedro,60.0,1.0,1.0,1.0,159900,220.0,False,False,False,False,True,False,False,False,False,False
Apartamento,São Pedro,50.0,2.0,1.0,1.0,140000,248.0,True,False,False,False,False,True,False,False,False,False
Apartamento,São Pedro,52.0,2.0,1.0,1.0,190000,227.0,False,False,True,False,False,False,False,False,False,False
Apartamento,São Pedro,90.0,2.0,2.0,2.0,470000,200.0,True,True,False,True,True,False,False,False,False,False
Apartamento,São Pedro,55.0,2.0,1.0,1.0,215000,,False,False,True,False,False,False,False,True,False,False
Apartamento,São Pedro,59.0,2.0,1.0,1.0,220000,250.0,True,False,True,False,True,True,True,False,False,False
Apartamento,São Pedro,47.0,2.0,1.0,,135000,170.0,True,False,False,False,False,False,False,False,False,False
Apartamento,São Pedro,52.0,2.0,1.0,1.0,220000,230.0,True,False,True,False,False,True,False,False,False,False
Apartamento,São Pedro,50.0,2.0,1.0,1.0,170000,205.0,False,False,True,False,False,True,False,False,False,False
Apartamento,São Pedro,70.0,2.0,2.0,1.0,289000,230.0,True,True,False,False,True,False,False,True,False,False
Apartamento,São Pedro,47.0,2.0,1.0,,140000,193.0,True,False,False,False,False,False,False,False,False,False
Apartamento,São Pedro,51.0,1.0,1.0,1.0,125000,100.0,True,False,False,False,False,False,False,False,False,False
Apartamento,São Pedro,56.0,1.0,1.0,1.0,270000,300.0,True,True,False,True,False,False,False,False,False,False
Apartamento,São Pedro,50.0,2.0,1.0,1.0,150000,198.0,True,False,True,False,False,True,False,True,False,False
Apartamento,São Pedro,70.0,2.0,1.0,1.0,230000,210.0,False,False,False,False,False,False,False,False,False,False
Apartamento,São Pedro,63.0,3.0,1.0,1.0,210000,356.0,True,False,True,False,False,True,True,True,False,False
Apartamento,São Pedro,103.0,2.0,1.0,1.0,299000,300.0,False,False,False,False,False,False,False,False,False,False
Apartamento,São Pedro,60.0,2.0,1.0,1.0,120000,100.0,True,True,False,False,False,False,False,False,False,False
Apartamento,São Pedro,60.0,2.0,1.0,1.0,225000,200.0,True,True,False,False,True,False,False,False,False,False
Apartamento,São Pedro,68.0,2.0,1.0,1.0,290000,150.0,True,True,True,False,True,False,False,True,False,False
Apartamento,São Pedro,50.0,2.0,1.0,2.0,210000,240.0,True,False,True,False,True,False,True,False,False,False
Apartamento,São Pedro,46.0,1.0,1.0,1.0,269900,150.0,False,False,False,False,False,False,False,False,False,False
Apartamento,São Pedro,75.0,2.0,2.0,1.0,395000,290.0,True,True,False,True,True,False,False,True,False,False
Apartamento,São Pedro,50.0,2.0,1.0,1.0,149000,190.0,False,True,False,False,False,False,True,False,False,False
Apartamento,São Pedro,45.0,1.0,1.0,1.0,239900,120.0,True,False,False,True,True,False,True,True,False,False
Apartamento,São Pedro,46.0,1.0,1.0,1.0,269900,,False,False,False,False,True,False,False,True,False,False
Apartamento,São Pedro,62.0,2.0,1.0,1.0,155000,150.0,True,False,False,False,False,False,False,False,False,False
Apartamento,São Pedro,50.0,2.0,1.0,1.0,220000,100.0,True,False,False,False,False,False,False,False,False,False
Apartamento,São Pedro,46.0,1.0,1.0,1.0,290000,196.0,False,True,False,True,True,False,False,True,False,False
Apartamento,São Pedro,43.0,1.0,1.0,,230197,,False,False,False,False,False,False,False,False,False,False
Apartamento,São Pedro,52.0,2.0,1.0,1.0,190000,230.0,True,False,True,False,False,True,True,True,False,False
Apartamento,São Pedro,117.0,2.0,2.0,2.0,545000,,False,False,False,False,True,False,False,True,False,False
